mode: atomic
linkrus/api/linkgraphapi/client.go:15.96,20.2 1 5
linkrus/api/linkgraphapi/server.go:95.2,96.16 2 1
linkrus/api/linkgraphapi/server.go:100.2,101.16 2 1
linkrus/api/linkgraphapi/server.go:105.2,105.15 1 1
linkrus/api/linkgraphapi/server.go:107.2,107.16 1 1
linkrus/api/linkgraphapi/server.go:120.2,120.35 1 1
linkrus/api/linkgraphapi/server.go:124.2,124.19 1 1
linkrus/api/linkgraphapi/server.go:85.35,87.3 1 0
linkrus/api/linkgraphapi/server.go:92.16,94.3 1 0
linkrus/api/linkgraphapi/server.go:96.16,98.3 1 0
linkrus/api/linkgraphapi/server.go:101.16,103.3 1 0
linkrus/api/linkgraphapi/server.go:105.15,105.33 1 1
linkrus/api/linkgraphapi/server.go:107.16,115.42 3 100
linkrus/api/linkgraphapi/server.go:115.42,117.4 1 0
linkrus/api/linkgraphapi/server.go:120.35,122.3 1 0
linkrus/api/linkgraphapi/server.go:127.91,131.35 2 1
linkrus/api/linkgraphapi/server.go:136.2,137.16 2 1
linkrus/api/linkgraphapi/server.go:143.2,144.16 2 1
linkrus/api/linkgraphapi/server.go:148.2,149.16 2 1
linkrus/api/linkgraphapi/server.go:153.2,153.15 1 1
linkrus/api/linkgraphapi/server.go:155.2,155.18 1 1
linkrus/api/linkgraphapi/server.go:170.2,170.25 1 1
linkrus/api/linkgraphapi/server.go:174.2,174.12 1 1
linkrus/api/linkgraphapi/server.go:131.35,133.3 1 0
linkrus/api/linkgraphapi/server.go:137.16,140.3 2 0
linkrus/api/linkgraphapi/server.go:144.16,146.3 1 0
linkrus/api/linkgraphapi/server.go:149.16,151.3 1 0
linkrus/api/linkgraphapi/server.go:153.15,153.35 1 1
linkrus/api/linkgraphapi/server.go:155.18,165.17 3 100
linkrus/api/linkgraphapi/server.go:165.17,167.4 1 0
linkrus/api/linkgraphapi/server.go:170.25,172.3 1 0
linkrus/api/linkgraphapi/server.go:177.40,178.18 1 19
linkrus/api/linkgraphapi/server.go:181.2,183.12 3 17
linkrus/api/linkgraphapi/server.go:178.18,180.3 1 2
linkrus/api/linkgraphapi/server.go:186.52,189.2 2 204
linkrus/bspgraph/aggregator/accumulator.go:16.44,18.2 1 0
linkrus/bspgraph/aggregator/accumulator.go:21.48,23.2 1 1
linkrus/bspgraph/aggregator/accumulator.go:26.49,27.28 1 0
linkrus/bspgraph/aggregator/accumulator.go:27.28,40.32 5 0
linkrus/bspgraph/aggregator/accumulator.go:40.32,42.4 1 0
linkrus/bspgraph/aggregator/accumulator.go:47.55,48.28 1 100
linkrus/bspgraph/aggregator/accumulator.go:48.28,55.5 3 103
linkrus/bspgraph/aggregator/accumulator.go:55.5,57.4 1 100
linkrus/bspgraph/aggregator/accumulator.go:63.50,64.6 1 0
linkrus/bspgraph/aggregator/accumulator.go:64.6,71.5 3 0
linkrus/bspgraph/aggregator/accumulator.go:71.5,73.4 1 0
linkrus/bspgraph/aggregator/accumulator.go:77.38,81.2 1 104
linkrus/bspgraph/aggregator/accumulator.go:90.40,92.2 1 0
linkrus/bspgraph/aggregator/accumulator.go:95.44,97.2 1 1
linkrus/bspgraph/aggregator/accumulator.go:100.45,101.31 1 0
linkrus/bspgraph/aggregator/accumulator.go:101.31,106.32 5 0
linkrus/bspgraph/aggregator/accumulator.go:106.32,108.4 1 0
linkrus/bspgraph/aggregator/accumulator.go:113.51,115.2 1 100
linkrus/bspgraph/aggregator/accumulator.go:119.46,120.6 1 0
linkrus/bspgraph/aggregator/accumulator.go:120.6,123.62 3 0
linkrus/bspgraph/aggregator/accumulator.go:123.62,125.4 1 0
linkrus/bspgraph/message/memory_queue.go:19.31,21.2 1 2
linkrus/bspgraph/message/memory_queue.go:24.52,29.2 4 20
linkrus/bspgraph/message/memory_queue.go:32.48,37.2 4 3
linkrus/bspgraph/message/memory_queue.go:40.49,46.2 5 1
linkrus/bspgraph/message/memory_queue.go:49.37,49.51 1 2
linkrus/bspgraph/message/memory_queue.go:52.45,52.57 1 1
linkrus/bspgraph/message/memory_queue.go:55.37,58.15 3 11
linkrus/bspgraph/message/memory_queue.go:64.2,67.13 4 10
linkrus/bspgraph/message/memory_queue.go:58.15,61.3 2 1
linkrus/bspgraph/message/memory_queue.go:71.43,76.2 4 10
linkrus/bspgraph/message/memory_queue.go:79.37,79.51 1 1
linkrus/api/textindexerapi/client.go:26.102,28.2 1 3
linkrus/api/textindexerapi/client.go:32.62,40.16 3 1
linkrus/api/textindexerapi/client.go:44.2,45.16 2 1
linkrus/api/textindexerapi/client.go:49.2,50.12 2 1
linkrus/api/textindexerapi/client.go:40.16,42.3 1 0
linkrus/api/textindexerapi/client.go:45.16,47.3 1 0
linkrus/api/textindexerapi/client.go:55.80,62.2 3 1
linkrus/api/textindexerapi/client.go:65.79,73.16 4 1
linkrus/api/textindexerapi/client.go:79.2,80.16 2 1
linkrus/api/textindexerapi/client.go:88.2,92.8 1 1
linkrus/api/textindexerapi/client.go:73.16,76.3 2 0
linkrus/api/textindexerapi/client.go:80.16,83.3 2 0
linkrus/api/textindexerapi/client.go:83.8,83.32 1 1
linkrus/api/textindexerapi/client.go:83.32,86.3 2 0
linkrus/api/textindexerapi/client.go:108.39,110.16 2 3
linkrus/api/textindexerapi/client.go:118.2,119.19 2 2
linkrus/api/textindexerapi/client.go:125.2,128.16 3 2
linkrus/api/textindexerapi/client.go:134.2,141.13 2 2
linkrus/api/textindexerapi/client.go:110.16,111.20 1 1
linkrus/api/textindexerapi/client.go:114.3,115.15 2 1
linkrus/api/textindexerapi/client.go:111.20,113.4 1 0
linkrus/api/textindexerapi/client.go:119.19,123.3 3 0
linkrus/api/textindexerapi/client.go:128.16,132.3 3 0
linkrus/api/textindexerapi/client.go:145.41,145.62 1 1
linkrus/api/textindexerapi/client.go:148.54,148.72 1 2
linkrus/api/textindexerapi/client.go:151.47,151.66 1 1
linkrus/api/textindexerapi/client.go:154.41,157.2 2 1
linkrus/api/textindexerapi/server.go:25.63,27.2 1 6
linkrus/api/textindexerapi/server.go:31.100,40.16 3 2
linkrus/api/textindexerapi/server.go:44.2,45.17 2 2
linkrus/api/textindexerapi/server.go:40.16,42.3 1 0
linkrus/api/textindexerapi/server.go:50.113,53.2 2 1
linkrus/api/textindexerapi/server.go:58.94,66.16 3 3
linkrus/api/textindexerapi/server.go:71.2,74.40 2 3
linkrus/api/textindexerapi/server.go:80.2,80.16 1 3
linkrus/api/textindexerapi/server.go:99.2,99.34 1 3
linkrus/api/textindexerapi/server.go:104.2,104.19 1 3
linkrus/api/textindexerapi/server.go:66.16,68.3 1 0
linkrus/api/textindexerapi/server.go:74.40,77.3 2 0
linkrus/api/textindexerapi/server.go:80.16,93.40 3 150
linkrus/api/textindexerapi/server.go:93.40,96.4 2 0
linkrus/api/textindexerapi/server.go:99.34,102.3 2 0
linkrus/api/textindexerapi/server.go:107.40,108.18 1 5
linkrus/api/textindexerapi/server.go:112.2,114.12 3 5
linkrus/api/textindexerapi/server.go:108.18,110.3 1 0
linkrus/api/textindexerapi/server.go:117.52,120.2 2 152
linkrus/crawler/privnet/detector.go:34.39,36.2 1 1
linkrus/crawler/privnet/detector.go:40.77,42.16 2 2
linkrus/crawler/privnet/detector.go:46.2,46.43 1 2
linkrus/crawler/privnet/detector.go:42.16,44.3 1 0
linkrus/crawler/privnet/detector.go:50.60,52.16 2 7
linkrus/crawler/privnet/detector.go:56.2,56.35 1 7
linkrus/crawler/privnet/detector.go:62.2,62.19 1 1
linkrus/crawler/privnet/detector.go:52.16,54.3 1 0
linkrus/crawler/privnet/detector.go:56.35,57.26 1 30
linkrus/crawler/privnet/detector.go:57.26,59.4 1 6
linkrus/crawler/privnet/detector.go:65.55,70.29 2 2
linkrus/crawler/privnet/detector.go:76.2,76.17 1 2
linkrus/crawler/privnet/detector.go:70.29,71.55 1 11
linkrus/crawler/privnet/detector.go:71.55,73.4 1 0
linkrus/crawler/text_indexer.go:16.51,20.2 1 2
linkrus/crawler/text_indexer.go:22.98,33.45 3 3
linkrus/crawler/text_indexer.go:37.2,37.15 1 3
linkrus/crawler/text_indexer.go:33.45,35.3 1 0
linkrus/crawler/crawler.go:76.38,80.2 1 1
linkrus/crawler/crawler.go:82.61,92.2 1 1
linkrus/crawler/crawler.go:94.86,98.2 3 1
linkrus/crawler/crawler.go:104.77,109.2 4 4
linkrus/crawler/crawler.go:111.39,113.2 1 1
linkrus/crawler/crawler.go:119.51,121.2 1 3
linkrus/crawler/crawler.go:123.49,135.2 6 2
linkrus/crawler/crawler.go:137.36,139.2 1 1
linkrus/crawler/crawler.go:143.65,145.2 1 0
linkrus/crawler/graph_updater.go:11.45,15.2 1 2
linkrus/crawler/graph_updater.go:23.97,35.50 4 3
linkrus/crawler/graph_updater.go:40.2,40.48 1 3
linkrus/crawler/graph_updater.go:50.2,52.40 3 3
linkrus/crawler/graph_updater.go:70.2,70.81 1 3
linkrus/crawler/graph_updater.go:74.2,74.15 1 3
linkrus/crawler/graph_updater.go:35.50,37.3 1 0
linkrus/crawler/graph_updater.go:40.48,42.51 2 3
linkrus/crawler/graph_updater.go:42.51,44.4 1 0
linkrus/crawler/graph_updater.go:52.40,57.51 3 6
linkrus/crawler/graph_updater.go:61.3,63.85 2 6
linkrus/crawler/graph_updater.go:57.51,59.4 1 0
linkrus/crawler/graph_updater.go:63.85,65.4 1 0
linkrus/crawler/graph_updater.go:70.81,72.3 1 0
linkrus/crawler/link_extractor.go:18.64,20.2 1 2
linkrus/crawler/link_extractor.go:26.100,29.16 3 3
linkrus/crawler/link_extractor.go:33.2,36.81 2 3
linkrus/crawler/link_extractor.go:44.2,45.73 2 3
linkrus/crawler/link_extractor.go:80.2,80.15 1 3
linkrus/crawler/link_extractor.go:29.16,31.3 1 0
linkrus/crawler/link_extractor.go:36.81,37.83 1 2
linkrus/crawler/link_extractor.go:37.83,39.4 1 2
linkrus/crawler/link_extractor.go:45.73,51.44 3 19
linkrus/crawler/link_extractor.go:56.3,61.40 3 13
linkrus/crawler/link_extractor.go:66.3,66.42 1 10
linkrus/crawler/link_extractor.go:70.3,73.42 2 10
linkrus/crawler/link_extractor.go:51.44,52.12 1 6
linkrus/crawler/link_extractor.go:61.40,62.12 1 3
linkrus/crawler/link_extractor.go:66.42,67.12 1 0
linkrus/crawler/link_extractor.go:73.42,75.4 1 3
linkrus/crawler/link_extractor.go:75.9,77.4 1 7
linkrus/crawler/link_extractor.go:83.72,84.17 1 19
linkrus/crawler/link_extractor.go:89.2,89.53 1 19
linkrus/crawler/link_extractor.go:94.2,94.32 1 17
linkrus/crawler/link_extractor.go:99.2,99.83 1 8
linkrus/crawler/link_extractor.go:103.2,103.13 1 4
linkrus/crawler/link_extractor.go:84.17,86.3 1 0
linkrus/crawler/link_extractor.go:89.53,91.3 1 2
linkrus/crawler/link_extractor.go:94.32,96.3 1 9
linkrus/crawler/link_extractor.go:99.83,101.3 1 4
linkrus/crawler/link_extractor.go:106.49,107.35 1 2
linkrus/crawler/link_extractor.go:110.2,110.13 1 2
linkrus/crawler/link_extractor.go:107.35,109.3 1 0
linkrus/crawler/link_extractor.go:120.57,123.15 2 27
linkrus/crawler/link_extractor.go:127.2,127.37 1 27
linkrus/crawler/link_extractor.go:131.2,131.53 1 27
linkrus/crawler/link_extractor.go:135.2,135.12 1 0
linkrus/crawler/link_extractor.go:123.15,125.3 1 0
linkrus/crawler/link_extractor.go:127.37,129.3 1 5
linkrus/crawler/link_extractor.go:131.53,133.3 1 27
linkrus/crawler/link_fetcher.go:13.91,18.2 1 3
linkrus/crawler/link_fetcher.go:25.98,29.45 2 4
linkrus/crawler/link_fetcher.go:34.2,34.73 1 3
linkrus/crawler/link_fetcher.go:39.2,40.16 2 3
linkrus/crawler/link_fetcher.go:45.2,47.16 3 3
linkrus/crawler/link_fetcher.go:52.2,52.50 1 3
linkrus/crawler/link_fetcher.go:57.2,57.91 1 3
linkrus/crawler/link_fetcher.go:61.2,61.15 1 3
linkrus/crawler/link_fetcher.go:29.45,31.3 1 1
linkrus/crawler/link_fetcher.go:34.73,36.3 1 0
linkrus/crawler/link_fetcher.go:40.16,42.3 1 0
linkrus/crawler/link_fetcher.go:47.16,49.3 1 0
linkrus/crawler/link_fetcher.go:52.50,54.3 1 0
linkrus/crawler/link_fetcher.go:57.91,59.3 1 0
linkrus/crawler/link_fetcher.go:64.57,66.16 2 3
linkrus/crawler/link_fetcher.go:70.2,70.54 1 3
linkrus/crawler/link_fetcher.go:66.16,68.3 1 0
linkrus/crawler/payload.go:21.27,23.4 1 4
linkrus/crawler/payload.go:48.51,60.16 10 2
linkrus/crawler/payload.go:63.2,63.13 1 2
linkrus/crawler/payload.go:60.16,61.73 1 0
linkrus/crawler/payload.go:66.44,77.2 9 4
linkrus/crawler/text_extractor.go:22.40,25.28 1 2
linkrus/crawler/text_extractor.go:25.28,27.5 1 2
linkrus/crawler/text_extractor.go:32.99,36.15 3 3
linkrus/crawler/text_extractor.go:41.2,43.42 2 3
linkrus/crawler/text_extractor.go:59.2,59.100 1 3
linkrus/crawler/text_extractor.go:69.2,71.21 2 3
linkrus/crawler/text_extractor.go:36.15,39.3 1 3
linkrus/crawler/text_extractor.go:43.42,56.3 4 5
linkrus/crawler/text_extractor.go:59.100,67.3 1 2
linkrus/crawler/text_extractor.go:78.76,81.2 2 20
linkrus/crawler/text_extractor.go:83.43,85.2 1 10
linkrus/crawler/text_extractor.go:87.40,89.2 1 5
linkrus/crawler/text_extractor.go:91.63,92.33 1 5
linkrus/crawler/text_extractor.go:92.33,94.3 1 5
linkrus/linkgraph/store/memory/iterator.go:14.36,15.32 1 1661
linkrus/linkgraph/store/memory/iterator.go:18.2,19.13 2 1606
linkrus/linkgraph/store/memory/iterator.go:15.32,17.3 1 55
linkrus/linkgraph/store/memory/iterator.go:23.38,25.2 1 34
linkrus/linkgraph/store/memory/iterator.go:28.38,30.2 1 65
linkrus/linkgraph/store/memory/iterator.go:33.43,41.2 5 1606
linkrus/linkgraph/store/memory/iterator.go:52.36,53.32 1 1341
linkrus/linkgraph/store/memory/iterator.go:56.2,57.13 2 1306
linkrus/linkgraph/store/memory/iterator.go:53.32,55.3 1 35
linkrus/linkgraph/store/memory/iterator.go:61.38,63.2 1 34
linkrus/linkgraph/store/memory/iterator.go:66.38,68.2 1 66
linkrus/linkgraph/store/memory/iterator.go:71.43,79.2 5 1306
linkrus/linkgraph/store/memory/memory.go:31.40,38.2 1 10
linkrus/linkgraph/store/memory/memory.go:41.60,47.59 3 1014
linkrus/linkgraph/store/memory/memory.go:58.2,58.6 1 1012
linkrus/linkgraph/store/memory/memory.go:65.2,69.12 5 1012
linkrus/linkgraph/store/memory/memory.go:47.59,51.41 4 2
linkrus/linkgraph/store/memory/memory.go:54.3,54.13 1 2
linkrus/linkgraph/store/memory/memory.go:51.41,53.4 1 1
linkrus/linkgraph/store/memory/memory.go:58.6,60.30 2 1012
linkrus/linkgraph/store/memory/memory.go:60.30,61.9 1 1012
linkrus/linkgraph/store/memory/memory.go:73.69,78.17 4 4
linkrus/linkgraph/store/memory/memory.go:82.2,84.19 3 3
linkrus/linkgraph/store/memory/memory.go:78.17,80.3 1 1
linkrus/linkgraph/store/memory/memory.go:89.110,94.36 4 55
linkrus/linkgraph/store/memory/memory.go:99.2,101.46 2 55
linkrus/linkgraph/store/memory/memory.go:94.36,95.95 1 7309
linkrus/linkgraph/store/memory/memory.go:95.95,97.4 1 1606
linkrus/linkgraph/store/memory/memory.go:105.60,111.30 5 406
linkrus/linkgraph/store/memory/memory.go:116.2,116.49 1 405
linkrus/linkgraph/store/memory/memory.go:126.2,126.6 1 404
linkrus/linkgraph/store/memory/memory.go:133.2,141.12 6 404
linkrus/linkgraph/store/memory/memory.go:111.30,113.3 1 1
linkrus/linkgraph/store/memory/memory.go:116.49,118.67 2 29804
linkrus/linkgraph/store/memory/memory.go:118.67,122.4 3 1
linkrus/linkgraph/store/memory/memory.go:126.6,128.30 2 404
linkrus/linkgraph/store/memory/memory.go:128.30,129.9 1 404
linkrus/linkgraph/store/memory/memory.go:147.108,152.30 4 35
linkrus/linkgraph/store/memory/memory.go:163.2,165.46 2 35
linkrus/linkgraph/store/memory/memory.go:152.30,153.51 1 6609
linkrus/linkgraph/store/memory/memory.go:157.3,157.48 1 2809
linkrus/linkgraph/store/memory/memory.go:153.51,154.12 1 3800
linkrus/linkgraph/store/memory/memory.go:157.48,158.69 1 1309
linkrus/linkgraph/store/memory/memory.go:158.69,160.5 1 1306
linkrus/linkgraph/store/memory/memory.go:170.91,175.47 4 1
linkrus/linkgraph/store/memory/memory.go:186.2,187.12 2 1
linkrus/linkgraph/store/memory/memory.go:175.47,177.43 2 200
linkrus/linkgraph/store/memory/memory.go:182.3,182.44 1 100
linkrus/linkgraph/store/memory/memory.go:177.43,179.12 2 100
linkrus/pipeline/interface.go:26.87,28.2 1 53
linkrus/pipeline/pipeline.go:12.43,14.2 1 5
linkrus/pipeline/pipeline.go:24.81,34.36 5 5
linkrus/pipeline/pipeline.go:38.2,38.37 1 5
linkrus/pipeline/pipeline.go:62.2,65.12 2 5
linkrus/pipeline/pipeline.go:79.2,79.12 1 5
linkrus/pipeline/pipeline.go:86.2,86.12 1 5
linkrus/pipeline/pipeline.go:94.2,95.26 2 5
linkrus/pipeline/pipeline.go:100.2,100.12 1 5
linkrus/pipeline/pipeline.go:34.36,36.3 1 28
linkrus/pipeline/pipeline.go:38.37,41.27 2 23
linkrus/pipeline/pipeline.go:41.27,42.17 1 23
linkrus/pipeline/pipeline.go:49.4,54.6 1 23
linkrus/pipeline/pipeline.go:42.17,47.5 2 23
linkrus/pipeline/pipeline.go:65.12,66.16 1 5
linkrus/pipeline/pipeline.go:75.3,75.48 1 5
linkrus/pipeline/pipeline.go:66.16,71.4 2 5
linkrus/pipeline/pipeline.go:79.12,80.16 1 5
linkrus/pipeline/pipeline.go:83.3,83.57 1 5
linkrus/pipeline/pipeline.go:80.16,82.4 1 5
linkrus/pipeline/pipeline.go:86.12,91.3 3 5
linkrus/pipeline/pipeline.go:95.26,98.3 2 0
linkrus/pipeline/pipeline.go:103.95,104.23 1 5
linkrus/pipeline/pipeline.go:114.2,114.39 1 5
linkrus/pipeline/pipeline.go:104.23,107.10 2 27
linkrus/pipeline/pipeline.go:108.21,109.10 1 0
linkrus/pipeline/pipeline.go:110.25,110.25 0 27
linkrus/pipeline/pipeline.go:114.39,117.3 2 0
linkrus/pipeline/pipeline.go:120.92,122.6 1 5
linkrus/pipeline/pipeline.go:122.6,123.10 1 14
linkrus/pipeline/pipeline.go:124.30,125.11 1 14
linkrus/pipeline/pipeline.go:129.4,129.53 1 9
linkrus/pipeline/pipeline.go:134.4,134.29 1 9
linkrus/pipeline/pipeline.go:135.21,136.10 1 0
linkrus/pipeline/pipeline.go:125.11,127.5 1 5
linkrus/pipeline/pipeline.go:129.53,133.5 3 0
linkrus/pipeline/pipeline.go:141.52,142.9 1 0
linkrus/pipeline/pipeline.go:143.20,143.20 0 0
linkrus/pipeline/pipeline.go:144.10,144.10 0 0
linkrus/pipeline/pipeline.go:155.41,157.2 1 3
linkrus/pipeline/pipeline.go:159.47,161.2 1 119
linkrus/pipeline/pipeline.go:163.48,165.2 1 66
linkrus/pipeline/pipeline.go:167.45,169.2 1 3
linkrus/pipeline/stage.go:11.39,13.2 1 23
linkrus/pipeline/stage.go:21.60,30.6 1 23
linkrus/pipeline/stage.go:30.6,31.10 1 66
linkrus/pipeline/stage.go:32.21,33.10 1 0
linkrus/pipeline/stage.go:34.42,35.11 1 66
linkrus/pipeline/stage.go:42.4,43.18 2 43
linkrus/pipeline/stage.go:53.4,53.25 1 43
linkrus/pipeline/stage.go:59.4,59.11 1 33
linkrus/pipeline/stage.go:35.11,39.5 1 23
linkrus/pipeline/stage.go:43.18,51.5 3 0
linkrus/pipeline/stage.go:53.25,55.13 2 10
linkrus/pipeline/stage.go:61.39,61.39 0 33
linkrus/pipeline/stage.go:62.22,63.11 1 0
linkrus/pipeline/stage.go:71.66,72.21 1 1
linkrus/pipeline/stage.go:77.2,78.34 2 1
linkrus/pipeline/stage.go:82.2,82.39 1 1
linkrus/pipeline/stage.go:72.21,73.51 1 0
linkrus/pipeline/stage.go:78.34,80.3 1 10
linkrus/pipeline/stage.go:90.72,95.36 2 1
linkrus/pipeline/stage.go:104.2,104.11 1 1
linkrus/pipeline/stage.go:95.36,97.28 2 10
linkrus/pipeline/stage.go:97.28,100.4 2 10
linkrus/pipeline/stage.go:109.72,110.21 1 1
linkrus/pipeline/stage.go:115.2,116.34 2 1
linkrus/pipeline/stage.go:120.2,123.3 1 1
linkrus/pipeline/stage.go:110.21,111.53 1 0
linkrus/pipeline/stage.go:116.34,118.3 1 5
linkrus/pipeline/stage.go:131.74,133.6 1 1
linkrus/pipeline/stage.go:187.2,187.40 1 1
linkrus/pipeline/stage.go:133.6,134.10 1 11
linkrus/pipeline/stage.go:135.21,136.14 1 0
linkrus/pipeline/stage.go:137.42,138.11 1 11
linkrus/pipeline/stage.go:143.4,144.11 2 10
linkrus/pipeline/stage.go:151.4,151.47 1 10
linkrus/pipeline/stage.go:138.11,139.15 1 1
linkrus/pipeline/stage.go:145.31,145.31 0 10
linkrus/pipeline/stage.go:146.22,147.15 1 0
linkrus/pipeline/stage.go:151.47,152.18 1 10
linkrus/pipeline/stage.go:160.5,161.19 2 10
linkrus/pipeline/stage.go:168.5,168.26 1 10
linkrus/pipeline/stage.go:177.5,177.12 1 0
linkrus/pipeline/stage.go:152.18,157.6 1 10
linkrus/pipeline/stage.go:161.19,165.6 3 0
linkrus/pipeline/stage.go:168.26,174.6 2 10
linkrus/pipeline/stage.go:178.23,179.12 1 0
linkrus/pipeline/stage.go:180.40,180.40 0 0
linkrus/pipeline/stage.go:187.40,189.3 1 5
linkrus/pipeline/stage.go:195.48,197.21 1 1
linkrus/pipeline/stage.go:201.2,202.26 2 1
linkrus/pipeline/stage.go:206.2,206.33 1 1
linkrus/pipeline/stage.go:197.21,198.63 1 0
linkrus/pipeline/stage.go:202.26,204.3 1 3
linkrus/pipeline/stage.go:213.66,221.36 2 1
linkrus/pipeline/stage.go:236.1,237.6 1 1
linkrus/pipeline/stage.go:268.2,268.26 1 1
linkrus/pipeline/stage.go:272.2,272.11 1 1
linkrus/pipeline/stage.go:221.36,224.26 3 3
linkrus/pipeline/stage.go:224.26,233.4 3 3
linkrus/pipeline/stage.go:237.6,238.10 1 2
linkrus/pipeline/stage.go:239.21,240.14 1 0
linkrus/pipeline/stage.go:241.42,242.11 1 2
linkrus/pipeline/stage.go:248.4,248.43 1 1
linkrus/pipeline/stage.go:242.11,243.15 1 1
linkrus/pipeline/stage.go:248.43,254.15 2 3
linkrus/pipeline/stage.go:258.5,258.12 1 3
linkrus/pipeline/stage.go:254.15,256.6 1 2
linkrus/pipeline/stage.go:259.23,260.12 1 0
linkrus/pipeline/stage.go:261.33,261.33 0 3
linkrus/pipeline/stage.go:268.26,270.3 1 3
linkrus/textindexer/store/memory/bleve.go:37.63,40.16 3 8
linkrus/textindexer/store/memory/bleve.go:44.2,47.8 1 8
linkrus/textindexer/store/memory/bleve.go:40.16,42.3 1 0
linkrus/textindexer/store/memory/bleve.go:51.46,53.2 1 8
linkrus/textindexer/store/memory/bleve.go:57.65,58.28 1 256
linkrus/textindexer/store/memory/bleve.go:62.2,68.41 5 255
linkrus/textindexer/store/memory/bleve.go:72.2,72.62 1 255
linkrus/textindexer/store/memory/bleve.go:76.2,78.12 3 255
linkrus/textindexer/store/memory/bleve.go:58.28,60.3 1 1
linkrus/textindexer/store/memory/bleve.go:68.41,70.3 1 2
linkrus/textindexer/store/memory/bleve.go:72.62,74.3 1 0
linkrus/textindexer/store/memory/bleve.go:82.84,84.2 1 4
linkrus/textindexer/store/memory/bleve.go:87.81,91.39 3 254
linkrus/textindexer/store/memory/bleve.go:95.2,95.65 1 1
linkrus/textindexer/store/memory/bleve.go:91.39,93.3 1 253
linkrus/textindexer/store/memory/bleve.go:100.78,102.16 2 6
linkrus/textindexer/store/memory/bleve.go:109.2,114.16 6 6
linkrus/textindexer/store/memory/bleve.go:118.2,118.84 1 6
linkrus/textindexer/store/memory/bleve.go:103.29,104.47 1 1
linkrus/textindexer/store/memory/bleve.go:105.10,106.41 1 5
linkrus/textindexer/store/memory/bleve.go:114.16,116.3 1 0
linkrus/textindexer/store/memory/bleve.go:124.83,130.12 5 352
linkrus/textindexer/store/memory/bleve.go:135.2,136.60 2 352
linkrus/textindexer/store/memory/bleve.go:140.2,140.12 1 352
linkrus/textindexer/store/memory/bleve.go:130.12,133.3 2 1
linkrus/textindexer/store/memory/bleve.go:136.60,138.3 1 0
linkrus/textindexer/store/memory/bleve.go:143.49,147.2 3 508
linkrus/textindexer/store/memory/bleve.go:149.47,155.2 1 607
linkrus/textindexer/store/memory/iterator.go:22.40,25.18 3 6
linkrus/textindexer/store/memory/iterator.go:28.2,28.12 1 6
linkrus/textindexer/store/memory/iterator.go:25.18,27.3 1 6
linkrus/textindexer/store/memory/iterator.go:33.38,34.67 1 256
linkrus/textindexer/store/memory/iterator.go:39.2,39.34 1 250
linkrus/textindexer/store/memory/iterator.go:48.2,49.76 2 250
